Week,Winner,Rejects,Special
2020-06-29,LegallyBlonde,,
2020-07-06,LostBoys,,
2020-07-13,RomyAndMichele,,
2020-07-20,Cheerleader,,
2020-07-27,FifthElement,,
2020-08-03,HailCaesar,,
2020-08-10,Spy,,
2020-08-17,JupiterAscending,,
2020-08-24,GrossPointeBlank,,
2020-08-31,BluesBrothers,,
2020-09-07,TankGirl,,
2020-09-14,AttackTheBlock,,
2020-09-21,BillAndTed1,,
2020-09-28,Ghostbusters,TheHeat,
2020-10-05,HocusPocus,,
2020-10-12,AddamsFamily,,
2020-10-19,Beetlejuice,DeathBecomesHer,
2020-10-26,TheCraft,,halloween
2020-11-02,SisterAct,,
2020-11-09,NineToFive,,
2020-11-16,UHF,,
2020-11-23,EmpireRecords,,
2020-11-30,Dredd,,
2020-12-07,SpeedRacer,,
2020-12-14,Jumanji2,,
2020-12-21,TheDetective,,
2020-12-28,DieHard,,xmas
2021-01-04,HotRod,,
2021-01-11,SchoolOfRock,,
2021-01-18,Priscilla,,
2021-01-25,BeKindRewind,,
2021-02-01,MenInBlack,,
2021-02-08,SorryToBotherYou,,
2021-02-15,JohnnyMnemonic,,
2021-02-22,Constantine,,
2021-03-01,TheMummy,,
2021-03-08,RED,,
2021-03-15,TheWorldsEnd,,anniversary
2021-03-22,RIPD,,
2021-03-29,SuperMarioBros,,
2021-04-05,Speed,,
2021-04-12,VampireAcademy,,
2021-04-19,HaroldAndKumar,,
2021-04-26,LockStockN2SB,,
2021-05-03,LoganLucky,,
2021-05-10,Postcards,,
2021-05-17,Spaceballs,,
2021-05-24,Ronin,,
2021-05-31,HappyFeet,,
2021-06-07,ParisIsBurning,,documentary
2021-06-14,LegoBatman,,
2021-06-21,Pleasantville,,
2021-06-28,DetectivePikachu,,
2021-07-05,Fursonas,,documentary
2021-07-12,PitchPerfect,,
2021-07-19,StepUp2,,
2021-07-26,MagicMike,,
2021-08-02,MuppetTreasureIsland,,
2021-08-09,SonicTheHedgehog,,
2021-08-16,CircusOfBooks,,documentary
2021-08-23,BatmanForever,,
2021-08-30,BatmanReturns,,
2021-09-06,PiratesOfTheC,,
2021-09-13,ClassActionPark,,documentary
2021-09-20,Clue,,
2021-09-27,Hook,,
2021-10-04,StrangerThanFiction,,
2021-10-11,StTrinians,,
2021-10-18,WitchesOfEastwick,,
2021-10-25,Zombieland,,halloween
2021-11-01,JennifersBody,,halloween
2021-11-08,AirBud,,
2021-11-15,GetShorty,,
2021-11-22,GunsAkimbo,,
2021-11-29,Horns,,
2021-12-06,Venom2,,
2021-12-13,Chicago,,
2021-12-20,MuppetsAndLegos,,xmas
2021-12-27,GunpowderMilkshake,,
2022-01-03,StarTrekIV,,timetravel
2022-01-10,WildWildWest,,
2022-01-17,Dogma,,problematicfaves
2022-01-24,SerialMom,,johnwaters
2022-01-31,SLCPunk,,
2022-02-07,Pig,,
